,uid,variable1,variable2,coefficient,k1,k2
49,49,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 25 to 29 years,0.1500256530637936,TS001,TS007A
50,50,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 30 to 34 years,-0.018023906755037882,TS001,TS007A
51,51,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 35 to 39 years,-0.1544756470694643,TS001,TS007A
52,52,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 40 to 44 years,-0.27371466494999974,TS001,TS007A
53,53,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 45 to 49 years,-0.4015225239207611,TS001,TS007A
54,54,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 50 to 54 years,-0.40790784753999804,TS001,TS007A
55,55,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 55 to 59 years,-0.30660415240487493,TS001,TS007A
56,56,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 60 to 64 years,-0.24209992100847488,TS001,TS007A
57,57,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 65 to 69 years,-0.19090661504562773,TS001,TS007A
58,58,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 70 to 74 years,-0.15264252125896233,TS001,TS007A
59,59,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 75 to 79 years,-0.13011077016756692,TS001,TS007A
60,60,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 80 to 84 years,-0.1215445142290812,TS001,TS007A
61,61,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 85 years and over,-0.06011048078739064,TS001,TS007A
62,62,Residence type: Lives in a household; measures: Value,Religion: No religion,-0.07185891419085519,TS001,TS030
63,63,Residence type: Lives in a household; measures: Value,Religion: Christian,0.16563410210574092,TS001,TS030
64,64,Residence type: Lives in a household; measures: Value,Religion: Buddhist,-0.17070394829276317,TS001,TS030
65,65,Residence type: Lives in a household; measures: Value,Religion: Hindu,-0.007051224847559607,TS001,TS030
66,66,Residence type: Lives in a household; measures: Value,Religion: Jewish,0.0065595864791840285,TS001,TS030
67,67,Residence type: Lives in a household; measures: Value,Religion: Muslim,-0.018067407090896766,TS001,TS030
68,68,Residence type: Lives in a household; measures: Value,Religion: Sikh,0.02081872084780907,TS001,TS030
69,69,Residence type: Lives in a household; measures: Value,Religion: Other religion,-0.08431498170423088,TS001,TS030
70,70,Residence type: Lives in a household; measures: Value,Religion: Not answered,-0.4933535832747427,TS001,TS030
71,71,Residence type: Lives in a communal establishment; measures: Value,Religion: No religion,0.07185891419085515,TS001,TS030
72,72,Residence type: Lives in a communal establishment; measures: Value,Religion: Christian,-0.165634102105741,TS001,TS030
73,73,Residence type: Lives in a communal establishment; measures: Value,Religion: Buddhist,0.17070394829276314,TS001,TS030
74,74,Residence type: Lives in a communal establishment; measures: Value,Religion: Hindu,0.007051224847559595,TS001,TS030
75,75,Residence type: Lives in a communal establishment; measures: Value,Religion: Jewish,-0.006559586479184013,TS001,TS030
76,76,Residence type: Lives in a communal establishment; measures: Value,Religion: Muslim,0.018067407090896773,TS001,TS030
77,77,Residence type: Lives in a communal establishment; measures: Value,Religion: Sikh,-0.020818720847809054,TS001,TS030
78,78,Residence type: Lives in a communal establishment; measures: Value,Religion: Other religion,0.08431498170423088,TS001,TS030
79,79,Residence type: Lives in a communal establishment; measures: Value,Religion: Not answered,0.4933535832747427,TS001,TS030
80,80,Residence type: Lives in a household; measures: Value,Distance travelled to work: Less than 2km,-0.14941889238324782,TS001,TS058
81,81,Residence type: Lives in a household; measures: Value,Distance travelled to work: 2km to less than 5km,0.03688578739505202,TS001,TS058
82,82,Residence type: Lives in a household; measures: Value,Distance travelled to work: 5km to less than 10km,0.14096462587206185,TS001,TS058
83,83,Residence type: Lives in a household; measures: Value,Distance travelled to work: 10km to less than 20km,0.13772942024514967,TS001,TS058
84,84,Residence type: Lives in a household; measures: Value,Distance travelled to work: 20km to less than 30km,0.03407631117225961,TS001,TS058
85,85,Residence type: Lives in a household; measures: Value,Distance travelled to work: 30km to less than 40km,0.005042645624956864,TS001,TS058
86,86,Residence type: Lives in a household; measures: Value,Distance travelled to work: 40km to less than 60km,-0.05229089881464251,TS001,TS058
87,87,Residence type: Lives in a household; measures: Value,Distance travelled to work: 60km and over,-0.3345228927938975,TS001,TS058
88,88,Residence type: Lives in a household; measures: Value,Distance travelled to work: Works mainly from home,-0.09204574256336584,TS001,TS058
89,89,Residence type: Lives in a household; measures: Value,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",0.18798061429307242,TS001,TS058
90,90,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: Less than 2km,0.1494188923832478,TS001,TS058
91,91,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 2km to less than 5km,-0.03688578739505202,TS001,TS058
92,92,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 5km to less than 10km,-0.14096462587206185,TS001,TS058
93,93,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 10km to less than 20km,-0.13772942024514964,TS001,TS058
94,94,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 20km to less than 30km,-0.03407631117225963,TS001,TS058
95,95,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 30km to less than 40km,-0.00504264562495686,TS001,TS058
96,96,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 40km to less than 60km,0.05229089881464256,TS001,TS058
97,97,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: 60km and over,0.3345228927938974,TS001,TS058
98,98,Residence type: Lives in a communal establishment; measures: Value,Distance travelled to work: Works mainly from home,0.09204574256336583,TS001,TS058
99,99,Residence type: Lives in a communal establishment; measures: Value,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",-0.18798061429307242,TS001,TS058
100,100,Residence type: Lives in a household; measures: Value,Hours worked: Part-time,-0.19225523138038705,TS001,TS059
101,101,Residence type: Lives in a household; measures: Value,Hours worked: Part-time: 15 hours or less worked,-0.45620881306432154,TS001,TS059
102,102,Residence type: Lives in a household; measures: Value,Hours worked: Part-time: 16 to 30 hours worked,0.08539066199792315,TS001,TS059
103,103,Residence type: Lives in a household; measures: Value,Hours worked: Full-time,0.19225523138038705,TS001,TS059
104,104,Residence type: Lives in a household; measures: Value,Hours worked: Full-time: 31 to 48 hours worked,0.19739193650342327,TS001,TS059
105,105,Residence type: Lives in a household; measures: Value,Hours worked: Full-time: 49 or more hours worked,-0.023320411808603933,TS001,TS059
106,106,Residence type: Lives in a communal establishment; measures: Value,Hours worked: Part-time,0.19225523138038716,TS001,TS059
107,107,Residence type: Lives in a communal establishment; measures: Value,Hours worked: Part-time: 15 hours or less worked,0.4562088130643216,TS001,TS059
108,108,Residence type: Lives in a communal establishment; measures: Value,Hours worked: Part-time: 16 to 30 hours worked,-0.08539066199792307,TS001,TS059
109,109,Residence type: Lives in a communal establishment; measures: Value,Hours worked: Full-time,-0.19225523138038716,TS001,TS059
110,110,Residence type: Lives in a communal establishment; measures: Value,Hours worked: Full-time: 31 to 48 hours worked,-0.1973919365034232,TS001,TS059
111,111,Residence type: Lives in a communal establishment; measures: Value,Hours worked: Full-time: 49 or more hours worked,0.023320411808603933,TS001,TS059
112,112,Residence type: Lives in a household; measures: Value,Number of bedrooms: 1 bedroom,-0.22367633071533444,TS001,TS050
113,113,Residence type: Lives in a household; measures: Value,Number of bedrooms: 2 bedrooms,-0.08666063936012536,TS001,TS050
114,114,Residence type: Lives in a household; measures: Value,Number of bedrooms: 3 bedrooms,0.24547802516450645,TS001,TS050
115,115,Residence type: Lives in a household; measures: Value,Number of bedrooms: 4 or more bedrooms,-0.02544554521098123,TS001,TS050
116,116,Residence type: Lives in a communal establishment; measures: Value,Number of bedrooms: 1 bedroom,0.22367633071533444,TS001,TS050
117,117,Residence type: Lives in a communal establishment; measures: Value,Number of bedrooms: 2 bedrooms,0.08666063936012537,TS001,TS050
118,118,Residence type: Lives in a communal establishment; measures: Value,Number of bedrooms: 3 bedrooms,-0.24547802516450642,TS001,TS050
119,119,Residence type: Lives in a communal establishment; measures: Value,Number of bedrooms: 4 or more bedrooms,0.02544554521098122,TS001,TS050
120,120,Residence type: Lives in a household; measures: Value,Highest level of qualification: No qualifications,0.20661553859126217,TS001,TS067
121,121,Residence type: Lives in a household; measures: Value,Highest level of qualification: Level 1 and entry level qualifications,0.3075327412071229,TS001,TS067
122,122,Residence type: Lives in a household; measures: Value,Highest level of qualification: Level 2 qualifications,0.3045931084341882,TS001,TS067
123,123,Residence type: Lives in a household; measures: Value,Highest level of qualification: Apprenticeship,0.2332730482886691,TS001,TS067
124,124,Residence type: Lives in a household; measures: Value,Highest level of qualification: Level 3 qualifications,-0.595527188456174,TS001,TS067
125,125,Residence type: Lives in a household; measures: Value,Highest level of qualification: Level 4 qualifications and above,-0.06884397985881477,TS001,TS067
126,126,Residence type: Lives in a household; measures: Value,Highest level of qualification: Other qualifications,0.08045751446143636,TS001,TS067
127,127,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: No qualifications,-0.20661553859126222,TS001,TS067
128,128,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: Level 1 and entry level qualifications,-0.30753274120712293,TS001,TS067
129,129,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: Level 2 qualifications,-0.3045931084341882,TS001,TS067
130,130,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: Apprenticeship,-0.23327304828866904,TS001,TS067
131,131,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: Level 3 qualifications,0.5955271884561743,TS001,TS067
132,132,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: Level 4 qualifications and above,0.06884397985881477,TS001,TS067
133,133,Residence type: Lives in a communal establishment; measures: Value,Highest level of qualification: Other qualifications,-0.08045751446143633,TS001,TS067
134,134,Residence type: Lives in a household; measures: Value,General health: Very good health,-0.10787841714939628,TS001,TS037
135,135,Residence type: Lives in a household; measures: Value,General health: Good health,0.0046043703713518095,TS001,TS037
136,136,Residence type: Lives in a household; measures: Value,General health: Fair health,0.13647166959945115,TS001,TS037
137,137,Residence type: Lives in a household; measures: Value,General health: Bad health,0.11530135528552467,TS001,TS037
138,138,Residence type: Lives in a household; measures: Value,General health: Very bad health,0.10572563791018487,TS001,TS037
139,139,Residence type: Lives in a communal establishment; measures: Value,General health: Very good health,0.10787841714939628,TS001,TS037
140,140,Residence type: Lives in a communal establishment; measures: Value,General health: Good health,-0.00460437037135182,TS001,TS037
141,141,Residence type: Lives in a communal establishment; measures: Value,General health: Fair health,-0.13647166959945117,TS001,TS037
142,142,Residence type: Lives in a communal establishment; measures: Value,General health: Bad health,-0.11530135528552474,TS001,TS037
143,143,Residence type: Lives in a communal establishment; measures: Value,General health: Very bad health,-0.1057256379101848,TS001,TS037
144,144,Country of birth: Europe: United Kingdom; measures: Value,Religion: No religion,0.5716244360249274,TS004,TS030
145,145,Country of birth: Europe: United Kingdom; measures: Value,Religion: Christian,0.5794007430361089,TS004,TS030
146,146,Country of birth: Europe: United Kingdom; measures: Value,Religion: Buddhist,-0.5104031189856947,TS004,TS030
147,147,Country of birth: Europe: United Kingdom; measures: Value,Religion: Hindu,-0.5429292739214171,TS004,TS030
148,148,Country of birth: Europe: United Kingdom; measures: Value,Religion: Jewish,-0.18075303451827496,TS004,TS030
149,149,Country of birth: Europe: United Kingdom; measures: Value,Religion: Muslim,-0.6600736456412913,TS004,TS030
150,150,Country of birth: Europe: United Kingdom; measures: Value,Religion: Sikh,-0.29934434965375034,TS004,TS030
151,151,Country of birth: Europe: United Kingdom; measures: Value,Religion: Other religion,-0.4056791495471908,TS004,TS030
152,152,Country of birth: Europe: United Kingdom; measures: Value,Religion: Not answered,-0.41170100757364336,TS004,TS030
153,153,Country of birth: Europe: EU countries; measures: Value,Religion: No religion,-0.32014638797716033,TS004,TS030
154,154,Country of birth: Europe: EU countries; measures: Value,Religion: Christian,-0.39702790232680296,TS004,TS030
155,155,Country of birth: Europe: EU countries; measures: Value,Religion: Buddhist,0.44258809572237456,TS004,TS030
156,156,Country of birth: Europe: EU countries; measures: Value,Religion: Hindu,0.31627025155588945,TS004,TS030
157,157,Country of birth: Europe: EU countries; measures: Value,Religion: Jewish,0.15690817221268663,TS004,TS030
158,158,Country of birth: Europe: EU countries; measures: Value,Religion: Muslim,0.3934683477059398,TS004,TS030
159,159,Country of birth: Europe: EU countries; measures: Value,Religion: Sikh,0.0995464220262358,TS004,TS030
160,160,Country of birth: Europe: EU countries; measures: Value,Religion: Other religion,0.38912663141730836,TS004,TS030
161,161,Country of birth: Europe: EU countries; measures: Value,Religion: Not answered,0.4658556706239854,TS004,TS030
162,162,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: No religion,-0.21304350361413993,TS004,TS030
163,163,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Christian,-0.37789311237451517,TS004,TS030
164,164,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Buddhist,0.4995369724225102,TS004,TS030
165,165,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Hindu,0.19624069864636098,TS004,TS030
166,166,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Jewish,0.19718744067228486,TS004,TS030
167,167,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Muslim,0.31362140846801045,TS004,TS030
168,168,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Sikh,0.03317938386509288,TS004,TS030
169,169,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Other religion,0.3143822204308818,TS004,TS030
170,170,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Religion: Not answered,0.571156559673993,TS004,TS030
171,171,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: No religion,-0.17069666103828315,TS004,TS030
172,172,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Christian,-0.25392906754959793,TS004,TS030
173,173,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Buddhist,0.1830408491152031,TS004,TS030
174,174,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Hindu,0.15826779212632125,TS004,TS030
175,175,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Jewish,0.0316378409292228,TS004,TS030
176,176,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Muslim,0.25688085260511667,TS004,TS030
177,177,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Sikh,0.11201874381480392,TS004,TS030
178,178,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Other religion,0.1542510567210346,TS004,TS030
179,179,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Religion: Not answered,0.2045377500811554,TS004,TS030
180,180,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: No religion,-0.38615192983294117,TS004,TS030
181,181,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Christian,-0.25474368911354983,TS004,TS030
182,182,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Buddhist,0.2725854554412781,TS004,TS030
183,183,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Hindu,0.4238135383410954,TS004,TS030
184,184,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Jewish,0.10113833934966032,TS004,TS030
185,185,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Muslim,0.34243035304508523,TS004,TS030
186,186,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Sikh,0.10718540566667571,TS004,TS030
187,187,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Other religion,0.390754018748719,TS004,TS030
188,188,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Religion: Not answered,0.18999593212593185,TS004,TS030
189,189,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: No religion,-0.13402077560815712,TS004,TS030
190,190,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Christian,-0.10497475615495347,TS004,TS030
191,191,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Buddhist,0.23130576002256367,TS004,TS030
192,192,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Hindu,0.10027828920171275,TS004,TS030
193,193,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Jewish,0.1256719001240112,TS004,TS030
194,194,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Muslim,0.09901021871478899,TS004,TS030
195,195,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Sikh,-0.030973542552248552,TS004,TS030
196,196,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Other religion,0.49275680253314025,TS004,TS030
197,197,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Religion: Not answered,0.29394666002968284,TS004,TS030
198,198,Country of birth: Europe: Non-EU countries; measures: Value,Religion: No religion,-0.30283514997855676,TS004,TS030
199,199,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Christian,-0.27423885328468706,TS004,TS030
200,200,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Buddhist,0.41898772405903234,TS004,TS030
201,201,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Hindu,0.21834571925233265,TS004,TS030
202,202,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Jewish,0.2263009346056545,TS004,TS030
203,203,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Muslim,0.2954150417811005,TS004,TS030
204,204,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Sikh,0.04391208852960676,TS004,TS030
205,205,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Other religion,0.5533025132438306,TS004,TS030
206,206,Country of birth: Europe: Non-EU countries; measures: Value,Religion: Not answered,0.4546883790770797,TS004,TS030
207,207,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: No religion,-0.30283514997855676,TS004,TS030
208,208,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Christian,-0.27423885328468706,TS004,TS030
209,209,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Buddhist,0.41898772405903234,TS004,TS030
210,210,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Hindu,0.21834571925233265,TS004,TS030
211,211,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Jewish,0.2263009346056545,TS004,TS030
212,212,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Muslim,0.2954150417811005,TS004,TS030
213,213,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Sikh,0.04391208852960676,TS004,TS030
214,214,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Other religion,0.5533025132438306,TS004,TS030
215,215,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Religion: Not answered,0.4546883790770797,TS004,TS030
216,216,Country of birth: Africa; measures: Value,Religion: No religion,-0.4975441451620129,TS004,TS030
217,217,Country of birth: Africa; measures: Value,Religion: Christian,-0.4049610626227147,TS004,TS030
218,218,Country of birth: Africa; measures: Value,Religion: Buddhist,0.41277624801803786,TS004,TS030
219,219,Country of birth: Africa; measures: Value,Religion: Hindu,0.4816415688821375,TS004,TS030
220,220,Country of birth: Africa; measures: Value,Religion: Jewish,0.13550175675030054,TS004,TS030
221,221,Country of birth: Africa; measures: Value,Religion: Muslim,0.5087863309167262,TS004,TS030
222,222,Country of birth: Africa; measures: Value,Religion: Sikh,0.20987246504257445,TS004,TS030
223,223,Country of birth: Africa; measures: Value,Religion: Other religion,0.39295606126563887,TS004,TS030
224,224,Country of birth: Africa; measures: Value,Religion: Not answered,0.287896284502941,TS004,TS030
225,225,Country of birth: Middle East and Asia; measures: Value,Religion: No religion,-0.6736762063886348,TS004,TS030
226,226,Country of birth: Middle East and Asia; measures: Value,Religion: Christian,-0.6559770684363493,TS004,TS030
227,227,Country of birth: Middle East and Asia; measures: Value,Religion: Buddhist,0.39013181909071,TS004,TS030
228,228,Country of birth: Middle East and Asia; measures: Value,Religion: Hindu,0.6492603734899102,TS004,TS030
229,229,Country of birth: Middle East and Asia; measures: Value,Religion: Jewish,0.12457559065329828,TS004,TS030
230,230,Country of birth: Middle East and Asia; measures: Value,Religion: Muslim,0.7966436201680078,TS004,TS030
231,231,Country of birth: Middle East and Asia; measures: Value,Religion: Sikh,0.47027861144919436,TS004,TS030
232,232,Country of birth: Middle East and Asia; measures: Value,Religion: Other religion,0.2206242143762706,TS004,TS030
233,233,Country of birth: Middle East and Asia; measures: Value,Religion: Not answered,0.1791611159369886,TS004,TS030
234,234,Country of birth: The Americas and the Caribbean; measures: Value,Religion: No religion,-0.21930811251481475,TS004,TS030
235,235,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Christian,-0.2584238541422185,TS004,TS030
236,236,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Buddhist,0.4255071564551959,TS004,TS030
237,237,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Hindu,0.1589540640118223,TS004,TS030
238,238,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Jewish,0.1675639372656379,TS004,TS030
239,239,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Muslim,0.24302939613572652,TS004,TS030
240,240,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Sikh,0.02890666590461679,TS004,TS030
241,241,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Other religion,0.3403980597343973,TS004,TS030
242,242,Country of birth: The Americas and the Caribbean; measures: Value,Religion: Not answered,0.5133835737703086,TS004,TS030
